"starts with a short of length delivery, worked away towards square leg, off the mark straightaway"
"pitched up, defended towards mid-on"
"ooh, beauty. Tosses it up, gets it to drift in towards off stump, and Warrican's front leg is nowhere near the ball as he looks to defend. Sharp turn beats his outside edge"
"full on off stump, blocked back to the bowler"
"slow length ball on middle and off, defended off the front foot"
"goes with the arm towards off stump, stays back to whip to long-on"
"length ball on middle stump, defended back to the bowler"
"a touch shorter outside off, Ambris plays that late dab again to pick up a single into the third man region"
"floated up slow outside off, shuffles out of his crease nicely to drive to long-off"
"flighted ball outside off, uses a lot of wrist to whip to midwicket"
floats it even wider and Warrican drives and finds the gap to the left of mid-off
"flat, angling away from off stump, jumps across and shoulders arms, just lets it hit his back pad"
"flat and fairly full on middle and leg, jams his bat down in defence and squeezes it into the leg side"
"flighted and full on off stump, driven with the turn to long-on"
"flighted ball wide of off stump, sharp turn. Goes for the flat-bat cover drive and inside-edges it down into the pitch"
"shorter now, and Warrican can jump back to chop it into the point region and bring up the 50 partnership"
"a touch short again, cut away nicely behind point"
"tossed up, turns back in towards off stump. Stretches out and blocks into the covers"
"back of a length, turns in towards the pads, clipped to short leg"
"short, makes a bit of room and chops this through point. Met it in front of off stump, but the length allowed him time to go back and watch the ball all the way onto his bat"
"back of a length on off stump, goes back to defend into the point region"
just a touch short outside off stump and Ambris rocks right back to pull it wide of mid-on
"flat length ball on off stump, stays back to defend into the covers"
"length ball just outside off, nice stride forward to block into the point region"
"flighted ball on off stump, blocked to silly point"
"flatter, angling into middle and leg, not much turn. Gets forward to nurdle into the vacant midwicket region - bring that fielder in, Shakib!"
"back of a length, spinning in from off stump. Goes back to work it to the right of midwicket"
"down the track to the flighted ball on off stump, uses his wrists to clip it to long-on"
flat length ball slanting across to off stump. Stays back to push into the covers
"ooh, mishit, and that's a superb catch from Shakib at midwicket! A bit of flight on middle stump, but Warrican doesn't quite judge the length. Dips shorter than expected as he stretches out to whip it into the leg side. Bottom hand comes off the handle, and the top-edge balloons over the infield, and Shakib, turning around and running towards the boundary, judges the ball's descent perfectly. Mehidy has ended this stand at 63, and Bangladesh only need one wicket now"
"flat length ball on the pads, clipped to square leg"
"down the track to the flighted ball on off stump, drives it nicely between the non-striker and the stumps at the other end. Could have run two, but chooses not to, unsurprisingly"
"length ball close to off stump, defended into the point region"
"got him, has he? Yes, says Richard Illingworth, and Sunil Ambris gestures immediately for a review - but West Indies have none left! Taijul has six, and Bangladesh have gone 1-0 up in the series. Flat, on a good length outside off, and sharp turn and bounce - we haven't seen that in a while. Stretches out to defend, and has that brushed his glove through to the keeper? It hasn't, according to Ultra Edge, but there's nothing Ambris can do about that"
